Date,Hour,Minute,Weekday,Weekday_number,Is_lesson,Online_friends
27,20,29,Thursday,3,0,34
27,20,30,Thursday,3,0,31
27,20,31,Thursday,3,0,32
27,20,32,Thursday,3,0,28
27,20,33,Thursday,3,0,30
27,20,34,Thursday,3,0,31
27,20,35,Thursday,3,0,31
27,20,36,Thursday,3,0,39
27,20,37,Thursday,3,0,40
27,20,38,Thursday,3,0,42
27,20,39,Thursday,3,0,42
27,20,40,Thursday,3,0,40
27,20,41,Thursday,3,0,39
27,20,42,Thursday,3,0,39
27,20,43,Thursday,3,0,41
27,20,44,Thursday,3,0,43
27,20,45,Thursday,3,0,43
27,20,46,Thursday,3,0,47
27,20,47,Thursday,3,0,49
27,20,48,Thursday,3,0,47
27,20,49,Thursday,3,0,45
27,20,50,Thursday,3,0,41
27,20,51,Thursday,3,0,34
27,20,52,Thursday,3,0,33
27,20,53,Thursday,3,0,36
27,20,54,Thursday,3,0,35
27,20,55,Thursday,3,0,39
27,20,56,Thursday,3,0,39
27,20,57,Thursday,3,0,47
27,20,58,Thursday,3,0,46
27,20,59,Thursday,3,0,49
27,21,0,Thursday,3,0,47
27,21,1,Thursday,3,0,48
27,21,2,Thursday,3,0,50
27,21,3,Thursday,3,0,55
27,21,4,Thursday,3,0,53
27,21,5,Thursday,3,0,49
27,21,6,Thursday,3,0,49
27,21,7,Thursday,3,0,50
27,21,8,Thursday,3,0,50
27,21,9,Thursday,3,0,53
27,21,10,Thursday,3,0,53
27,21,11,Thursday,3,0,49
27,21,12,Thursday,3,0,46
27,21,13,Thursday,3,0,41
27,21,14,Thursday,3,0,44
27,21,15,Thursday,3,0,35
27,21,16,Thursday,3,0,41
27,21,17,Thursday,3,0,43
27,21,18,Thursday,3,0,37
27,21,19,Thursday,3,0,44
27,21,20,Thursday,3,0,48
27,21,21,Thursday,3,0,47
27,21,22,Thursday,3,0,53
27,21,23,Thursday,3,0,55
27,21,24,Thursday,3,0,53
27,21,25,Thursday,3,0,49
27,21,26,Thursday,3,0,49
27,21,27,Thursday,3,0,46
27,21,28,Thursday,3,0,45
27,21,29,Thursday,3,0,46
27,21,30,Thursday,3,0,44
27,21,31,Thursday,3,0,43
27,21,32,Thursday,3,0,47
27,21,33,Thursday,3,0,47
27,21,34,Thursday,3,0,49
27,21,35,Thursday,3,0,46
27,21,36,Thursday,3,0,47
27,21,37,Thursday,3,0,44
27,21,38,Thursday,3,0,45
27,21,39,Thursday,3,0,45
27,21,40,Thursday,3,0,47
27,21,41,Thursday,3,0,52
27,21,42,Thursday,3,0,49
27,21,43,Thursday,3,0,49
27,21,44,Thursday,3,0,49
27,21,45,Thursday,3,0,46
27,21,46,Thursday,3,0,46
27,21,47,Thursday,3,0,42
27,21,48,Thursday,3,0,44
27,21,49,Thursday,3,0,41
27,21,50,Thursday,3,0,39
27,21,51,Thursday,3,0,44
27,21,52,Thursday,3,0,42
27,21,53,Thursday,3,0,42
27,21,54,Thursday,3,0,45
27,21,55,Thursday,3,0,46
27,21,56,Thursday,3,0,50
27,21,57,Thursday,3,0,51
27,21,58,Thursday,3,0,53
27,21,59,Thursday,3,0,51
27,22,0,Thursday,3,0,47
27,22,1,Thursday,3,0,48
27,22,2,Thursday,3,0,45
27,22,3,Thursday,3,0,50
27,22,4,Thursday,3,0,47
27,22,5,Thursday,3,0,52
27,22,6,Thursday,3,0,51
27,22,7,Thursday,3,0,50
27,22,8,Thursday,3,0,49
27,22,9,Thursday,3,0,47
27,22,10,Thursday,3,0,49
27,22,11,Thursday,3,0,48
27,22,12,Thursday,3,0,47
27,22,13,Thursday,3,0,46
27,22,14,Thursday,3,0,45
27,22,15,Thursday,3,0,46
27,22,16,Thursday,3,0,47
27,22,17,Thursday,3,0,39
27,22,18,Thursday,3,0,31
27,22,19,Thursday,3,0,33
27,22,20,Thursday,3,0,36
27,22,21,Thursday,3,0,36
27,22,22,Thursday,3,0,37
27,22,23,Thursday,3,0,41
27,22,24,Thursday,3,0,47
27,22,25,Thursday,3,0,50
27,22,26,Thursday,3,0,46
27,22,27,Thursday,3,0,47
27,22,28,Thursday,3,0,46
27,22,29,Thursday,3,0,44
27,22,30,Thursday,3,0,44
27,22,31,Thursday,3,0,48
27,22,32,Thursday,3,0,52
27,22,33,Thursday,3,0,49
27,22,34,Thursday,3,0,49
27,22,35,Thursday,3,0,50
27,22,36,Thursday,3,0,51
27,22,37,Thursday,3,0,44
27,22,38,Thursday,3,0,45
27,22,39,Thursday,3,0,43
27,22,40,Thursday,3,0,43
27,22,41,Thursday,3,0,42
27,22,42,Thursday,3,0,42
27,22,43,Thursday,3,0,43
27,22,44,Thursday,3,0,46
27,22,45,Thursday,3,0,40
27,22,46,Thursday,3,0,41
27,22,47,Thursday,3,0,39
27,22,48,Thursday,3,0,36
27,22,49,Thursday,3,0,36
27,22,50,Thursday,3,0,38
27,22,51,Thursday,3,0,35
27,22,52,Thursday,3,0,37
27,22,53,Thursday,3,0,40
27,22,54,Thursday,3,0,41
27,22,55,Thursday,3,0,41
27,22,56,Thursday,3,0,39
27,22,57,Thursday,3,0,39
